Kecamatan ;Jan;Feb;Mar;Apr;Mei;Juni;Jul;Agt;Sept;Okt;Nop;Des
Susukan;1;3; -; -;1; - ; - ; - ; - ; - ; -;2
Purwareja Klampok; - ; -; -; -; -; -; - ; - ; - ; -; -; - 
Mandiraja; - ;1;1;1; -; -; - ; - ; - ; - ;1;1
Purwanegara; - ; - ; -;1; -; -; - ; - ; - ; -;1; - 
Bawang; - ; - ;1;1; -; -; - ; - ; - ; - ; - ; - 
Banjarnegara;1; - ; -; -; -; -; - ; - ; - ; -; - ;1
Pagedongan; - ; - ; -; -; -; -; - ; - ; - ; - ; - ;1
Sigaluh; - ; - ; -; -; -; -; - ; - ; - ; -; - ; - 
Madukara; - ; - ; -;1; -; -; - ; - ; - ; - ; - ; - 
Banjarmangu; - ;1; -; -; -; -; - ; - ; - ; - ; - ; - 
Wanadadi; - ; - ; -;1; -; -; - ; - ; - ; - ; - ; - 
Rakit; - ; - ;1; -; -; -; - ; - ; - ; - ; - ; - 
Punggelan; - ; - ; -; -; -; -; - ; - ; - ; - ; - ; - 
Karangkobar; - ; - ; -; -; -; -; - ; - ; - ; - ; - ; - 
Pagentan; - ; - ; -; -; -; -; - ; - ; - ; - ; - ; - 
Pejawaran; - ; - ; -; -; -; -; - ; - ; - ; - ; - ; - 
Batur; - ; - ; -; -; -; -; - ; - ; - ; - ; - ; - 
Wanayasa; - ; - ; -; -; -; -; - ; - ;1; - ; - ; - 
Kalibening; - ; - ; -; -; -; -; - ; - ; - ; - ; - ; - 
Pandanarum; - ; - ; -; -; -; -; - ; - ; - ; - ;1; - 
