Kecamatan;Jan;Feb;Mar;Apr;Mei;Juni;Jul;Agt;Sept;Okt;Nop;Des
Susukan; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Purwareja Klampok; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Mandiraja; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;1
Purwanegara; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Bawang; - ;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Banjarnegara;1; - ;1; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pagedongan; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;3
Sigaluh; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Madukara;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Banjarmangu;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Wanadadi; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;1
Rakit; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Punggelan;1;1;1; - ; - ; - ; - ; - ; - ; - ; - ;1
Karangkobar; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pagentan; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pejawaran; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Batur;1; - ;1; - ; - ; - ; - ; - ; - ;2; - ; - 
Wanayasa; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Kalibening; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pandanarum; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
