Kecamatan;Jan;Feb;Mar;Apr;Mei;Juni;Jul;Agt;Sept;Okt;Nop;Des
Susukan; - ; - ; - ; - ;1; - ; - ; - ;1; - ; - ;1
Purwareja Klampok; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;1
Mandiraja; - ; - ; - ; - ; - ; - ; - ;1; - ;1; - ; - 
Purwanegara; - ; - ; - ; - ; - ; - ; - ; - ;1; - ; - ; - 
Bawang; - ;1; - ; - ; - ; - ;1; - ; - ; - ; - ; - 
Banjarnegara; - ; - ;1; - ; - ;1; - ; - ; - ; - ; - ; - 
Pagedongan; - ; - ; - ; - ; - ; - ; - ;1; - ; - ; - ;1
Sigaluh; - ; - ; - ; - ; - ; - ; - ;1; - ; - ; - ; - 
Madukara; - ; - ; - ; - ; - ; - ; - ;1; - ; - ; - ; - 
Banjarmangu; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Wanadadi; - ; - ;1;1; - ; - ; - ; - ; - ; - ; - ; - 
Rakit; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;1; - 
Punggelan; - ; - ;1; - ; - ; - ; - ; - ; - ; - ; - ;1
Karangkobar; - ; - ; - ; - ; - ; - ; - ; - ; - ;1; - ;1
Pagentan; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pejawaran; - ; - ; - ; - ; - ; - ; - ; - ; - ;1; - ; - 
Batur; - ; - ; - ;1; - ;1; - ; - ; - ;1; - ; - 
Wanayasa; - ;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Kalibening; - ;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pandanarum; - ;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
