Kecamatan;Jan;Feb;Mar;Apr;Mei;Juni;Jul;Agt;Sept;Okt;Nop;Des
Susukan;2; - ;2; - ; - ; - ; - ; - ; - ; - ;1; - 
Purwareja Klampok; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Mandiraja; - ;2;4; - ; - ; - ; - ; - ; - ; - ; - ; - 
Purwanegara; - ; - ;3;1;1; - ; - ; - ; - ; - ;1; - 
Bawang;1;2;2;2; - ; - ; - ; - ;1; - ; - ;2
Banjarnegara;1;1;3; - ; - ; - ; - ; - ; - ;1; - ;1
Pagedongan;7;3;6;1; - ; - ; - ; - ; - ; - ; - ;1
Sigaluh;2; - ;6; - ; - ; - ; - ; - ; - ; - ; - ;2
Madukara;2; - ;6; - ; - ; - ; - ; - ; - ; - ;1; - 
Banjarmangu;3;1;4; - ; - ; - ; - ; - ; - ; - ;1; - 
Wanadadi;1; - ; - ; - ; - ; - ; - ; - ; - ;1; - ;1
Rakit;1; - ; - ; - ; - ; - ; - ; - ;1; - ; - ; - 
Punggelan; - ;1;6;2; - ; - ; - ; - ; - ; - ;1;2
Karangkobar;1;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pagentan;5;1;2; - ; - ; - ; - ; - ; - ; - ;3;1
Pejawaran;3;7;7;1; - ; - ; - ;1; - ; - ; - ; - 
Batur;1;1; - ;1;1; - ; - ; - ; - ; - ; - ; - 
Wanayasa;6;4;4; - ; - ; - ; - ; - ; - ; - ; - ; - 
Kalibening;1;3; - ; - ; - ; - ; - ; - ; - ;1; - ; - 
Pandanarum;1;2;3; - ; - ; - ; - ; - ; - ; - ; - ; - 
