Kecamatan;Jan;Feb;Mar;Apr;Mei;Juni;Jul;Agt;Sept;Okt;Nop;Des
Susukan; - ; - ; - ;1; - ;1; - ; - ; - ; - ; - ; - 
Purwareja Klampok; - ; - ;1; - ;1; - ; - ; - ; - ; - ; - ; - 
Mandiraja; - ; - ;3; - ; - ; - ; - ; - ; - ; - ;1;2
Purwanegara; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;2;1
Bawang; - ; - ;4; - ; - ; - ; - ;1; - ; - ; - ; - 
Banjarnegara; - ;1;1; - ;1; - ; - ; - ; - ; - ; - ;2
Pagedongan; - ; - ;1; - ; - ; - ; - ; - ; - ; - ; - ;1
Sigaluh;1;1;1; - ; - ; - ; - ; - ; - ; - ; - ; - 
Madukara; - ; - ;2; - ; - ; - ; - ; - ; - ; - ; - ; - 
Banjarmangu; - ; - ; - ;1; - ; - ; - ; - ; - ; - ;1; - 
Wanadadi; - ;1;1; - ; - ; - ; - ; - ; - ; - ; - ; - 
Rakit; - ;2; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Punggelan; - ;1;4; - ; - ; - ; - ; - ; - ;1;1;3
Karangkobar; - ;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pagentan; - ;1;1; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pejawaran; - ; - ;1; - ; - ; - ; - ; - ; - ; - ; - ; - 
Batur; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Wanayasa; - ;1; - ; - ; - ; - ; - ; - ; - ; - ;1; - 
Kalibening; - ;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pandanarum; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
