Kecamatan;Jan;Feb;Mar;Apr;Mei;Juni;Jul;Agt;Sept;Okt;Nop;Des
Susukan; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Purwareja Klampok; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Mandiraja; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Purwanegara; - ;1; - ;1; - ; - ; - ; - ; - ; - ; - ; - 
Bawang; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Banjarnegara; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pagedongan; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Sigaluh; - ; - ; - ;1; - ; - ; - ; - ; - ; - ; - ; - 
Madukara; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Banjarmangu; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Wanadadi; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Rakit; - ; - ; - ; - ; - ; - ;1; - ; - ; - ; - ; - 
Punggelan; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Karangkobar; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pagentan; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pejawaran; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Batur; - ;3; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Wanayasa; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Kalibening; - ; - ; - ; - ; - ;1; - ; - ; - ; - ; - ; - 
Pandanarum; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
