Kecamatan;Jan;Feb;Mar;Apr;Mei;Juni;Jul;Agt;Sept;Okt;Nop;Des
Susukan;1;1;2; - ; - ; - ; - ; - ; - ; - ; - ;6
Purwareja Klampok; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Mandiraja; - ; - ;2; - ; - ; - ; - ; - ; - ; - ;1; - 
Purwanegara;2;2; - ; - ; - ; - ; - ; - ; - ; - ;1; - 
Bawang; - ;1; - ; - ; - ; - ; - ; - ; - ;1;2; - 
Banjarnegara; - ;2; - ; - ; - ; - ; - ; - ; - ; - ;1;1
Pagedongan;1; - ;1;2; - ; - ; - ; - ; - ; - ; - ;2
Sigaluh;1; - ; - ; - ; - ; - ; - ; - ; - ; - ;1; - 
Madukara;2;1; - ; - ; - ; - ; - ; - ; - ; - ;2; - 
Banjarmangu;1;4; - ; - ; - ; - ; - ; - ; - ; - ;2;3
Wanadadi; - ;2; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Rakit; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Punggelan;3;7;2; - ; - ; - ; - ; - ; - ; - ;1;2
Karangkobar;3;7;1; - ; - ; - ; - ; - ; - ; - ;1;1
Pagentan;10;2;1;2; - ; - ; - ; - ; - ; - ;1;2
Pejawaran;1;2;1; - ; - ; - ; - ; - ; - ; - ;2;3
Batur; - ;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Wanayasa;9;6; - ;1;1; - ; - ; - ; - ; - ;2;2
Kalibening;3;2; - ; - ; - ; - ; - ; - ; - ; - ; - ;1
Pandanarum;1;8; - ;1; - ; - ; - ; - ; - ; - ;2;2
