kecamatan,laki_laki,perempuan,total
Susukan,26980,27466,54446
Purwareja Klampok,20704,21229,41933
Mandiraja,32437,33078,65515
Purwanegara,33825,34661,68486
B a w a n g,28048,28166,56214
Banjarnegara,34866,34577,69443
Pagedongan,17725,17750,35475
S i g a l u h,16068,15467,31535
Madukara,22358,21921,44279
Banjarmangu,22144,21672,43816
Wanadadi,14528,14831,29359
R a k i t,23668,24085,47753
Punggelan,37603,37673,75276
Karangkobar,15613,15078,30691
Pagentan,18525,18101,36626
Pejawaran,21505,20895,42400
B a t u r,19979,19437,39416
Wanayasa,24327,23261,47588
Kalibening,21315,21250,42565
Pandanarum,10187,10189,20376
